Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_age_population,Income_rate,Income_count,Employment_rate,Employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,Broadband,crime_count,crime_rate,overcrowded_count,nocentralheat_count,overcrowded_rate,nocentralheat_rate,urban
S01010441,Yoker South,Glasgow City,965,785,0.1,98,0.07,57,85,75.46012265,114.6115986,106.5699985,0.186421174,0.037037037,86.34782717,0.81579,5.416666667,87.11714065,0.043478261,0.078947,1.544862708,0.972104087,3.578955939,2.744383562,5.185763091,8.010159236,2.278301405,6.465312899,11.15108557,0,28.13264294,291.5299787,147,16,0.187739464,0.020434227,1
S01010442,Yoker South,Glasgow City,768,589,0.26,199,0.17,100,155,79.09647431,174.0879637,127.6344857,0.187817259,0.105263158,118.1046524,0.59278,5.222222222,148.0955377,0.054545455,0.064748,3.787091768,1.966916329,1.852759784,3.234114286,2.304568151,5.848504274,3.526032389,3.447078273,8.377068151,0,25.1184312,327.0629062,209,17,0.282051282,0.02294197,1
S01010443,Yoker North,Glasgow City,559,370,0.13,72,0.07,25,125,88.22910811,80.47484606,90.90837827,0.217948718,0.041666667,109.7596344,0.72289,5.303030303,169.3410319,0.037037037,0.074468,2.4303,2.127659091,1.996472727,2.428779528,3.188386364,5.792016807,7.509872727,7.161836364,8.067972727,0,7.033160736,125.8168289,132,13,0.24,0.023636364,1
S01010444,Yoker North,Glasgow City,660,402,0.2,135,0.15,59,200,167.0549765,23.85262206,119.5575597,0.236173393,0,157.786887,0.69231,5.433333333,184.9730594,0.03875969,0.074074,2.351715328,1.232832117,1.17449635,1.626532258,3.110934307,5.636079137,5.354693431,4.569773723,8.841463504,0,19.09000771,289.2425411,141,7,0.205839416,0.010218978,1
S01010445,Yoker North,Glasgow City,939,471,0.23,216,0.17,81,150,205.8872207,77.90239055,178.1707539,0.31670282,0.051282051,134.6208058,0.77103,4.882352941,194.3490344,0.030769231,0.072727,2.106340125,1.526875653,1.946034483,0.982214286,4.233808777,6.168205128,6.78015674,7.552095089,12.23703239,0,17.08053322,181.9013122,160,4,0.205920206,0.005148005,1
S01010446,Yoker North,Glasgow City,825,562,0.13,108,0.08,45,120,57.51316632,201.0353576,144.3473643,0.218362283,0,109.2689725,0.82857,5.535714286,132.4812978,0,0.085526,2.147852029,1.997428401,2.077494033,1.759125874,3.838908115,6.205218978,8.528520286,7.99321599,10.95750298,0,12.05684698,146.1435997,120,13,0.143198091,0.015513126,1
S01010447,Knightswood West,Glasgow City,1029,710,0.31,321,0.25,172,215,319.986477,187.9247993,96.39979235,0.275419546,0.023255814,123.0600992,0.748,5.704545455,173.9159683,0.047619048,0.157895,3.367599708,1.087293288,1.292254377,1.889826733,4.100316148,5.917688172,5.033925097,5.366712062,13.7010822,0,28.13264294,273.3978906,261,20,0.253891051,0.019455253,1
S01010448,Knightswood West,Glasgow City,855,597,0.15,129,0.1,61,145,91.79961116,17.65344371,92.7519339,0.211538462,0.09375,104.2814159,0.80476,5.325,128.0513759,0.028776978,0.042169,3.294557625,1.480535506,1.231653085,1.5946875,3.974522701,5.998081761,5.760157159,4.24919674,10.24979045,0.02972973,20.09474496,235.0262568,106,11,0.123399302,0.012805588,1
S01010449,Knightswood West,Glasgow City,736,448,0.2,147,0.15,66,180,71.72741921,66.69598423,127.2762846,0.262585034,0.088235294,113.2660004,0.78333,5.227272727,183.141566,0.06097561,0.080808,3.219762516,2.009611682,1.451283697,1.765084746,3.884229782,6.15688172,4.69542362,4.589146341,12.61329268,0,16.07579597,218.4211409,147,23,0.188703466,0.029525032,1
S01010450,Knightswood East,Glasgow City,777,485,0.21,161,0.16,77,165,121.1046139,220.0928837,121.5761861,0.247089263,0.03125,105.3265563,0.825,4.5,153.3150752,0.111111111,0.057143,4.157228608,1.921309068,1.973077905,2.624014085,4.679734994,5.314479167,7.140839719,5.201455939,13.78298851,0,15.07105872,193.9647197,156,27,0.199233716,0.034482759,1
S01010451,Knightswood East,Glasgow City,851,565,0.32,276,0.29,161,190,175.5990305,335.4899938,140.6680889,0.297076023,0.15,129.3179527,0.79762,6.333333333,151.2366089,0.14084507,0.12963,4.277459491,2.32333044,2.305914352,2.419044118,2.72228588,4.538425926,6.88645544,5.372112269,8.677335069,0,55.26054864,649.3601485,158,6,0.190591074,0.007237636,1
S01010452,Knightswood East,Glasgow City,777,459,0.16,128,0.14,65,165,69.0855525,107.6747188,99.91664512,0.238903394,0,94.55424491,0.81921,5.458333333,153.0186345,0.013513514,0.035294,4.570605781,1.265821033,1.966429889,2.064166667,2.727718327,5.681306306,4.568530135,4.925854859,10.28785978,0,18.08527046,232.7576636,148,8,0.18204182,0.009840098,1
S01010453,Knightswood East,Glasgow City,761,571,0.31,237,0.24,138,170,336.8872707,214.0729466,190.7073338,0.204081633,0,137.9713502,0.7482,5.133333333,157.0721308,0.03125,0.045802,4.934234234,1.455221471,1.993547297,2.839890511,2.158975225,5.289479167,4.000397898,4.181768018,8.866167417,0.002747253,41.19422717,541.3170456,143,17,0.215361446,0.02560241,1
S01010454,Knightswood East,Glasgow City,784,471,0.18,141,0.15,69,130,89.50989413,85.062998,63.46585063,0.237684729,0.037037037,100.3414447,0.81935,5.625,156.3193551,0.017094017,0.080357,3.75056698,1.712388367,1.105481786,1.570962733,3.229970623,5.30814554,5.916175088,3.560884254,10.13642773,0,17.08053322,217.8639441,119,19,0.150823828,0.024081115,1
S01010455,Knightswood Park West,Glasgow City,886,593,0.41,361,0.36,208,290,404.695646,378.3354424,167.4956056,0.354876616,0.075471698,163.2106328,0.74051,5.307692308,200.8256937,0.015625,0.017391,3.169893843,3.155644904,2.939485138,2.693839779,3.939357749,5.384695122,8.284604565,10.70856953,9.732085987,0,53.25107414,601.0279249,152,57,0.161358811,0.060509554,1
S01010456,Knightswood Park West,Glasgow City,538,329,0.17,93,0.1,33,160,143.8686508,314.2408275,132.3272752,0.263257576,0,149.449021,0.89524,5.875,121.6569048,0.028571429,0.072464,3.783783186,2.512858407,2.654287611,2.398644068,4.794853982,4.532636364,8.124026549,8.567681416,12.73033186,0,8.037897984,149.4033083,105,12,0.185840708,0.021238938,1
S01010457,Knightswood Park West,Glasgow City,547,374,0.12,66,0.11,42,140,105.7403126,73.50999432,130.0155268,0.189849624,0,88.92980194,*,5.833333333,150.7484553,0.02,0.043478,3.051140966,2.204567757,2.320911215,1.985853659,4.13875,3.799278351,6.544855919,6.784267913,12.1018419,0,47.22265066,863.3025714,145,18,0.225856698,0.028037383,1
